"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Testing Link Broken 2","0","Testing Link Broken 2","Suite","Sun Jan 07 17:12:52 UTC 2024","unknown","Sun Jan 07 17:12:52 UTC 2024","com.tests.ValidationEpic1","chrome","com.tests.ValidationEpic1","validateHotelIsSelected2"
"Testing Link Checkboxes negative","0","Testing Link Checkboxes Negative","Suite","Sun Jan 07 17:12:52 UTC 2024","unknown","Sun Jan 07 17:12:52 UTC 2024","com.tests.ValidationEpic1","chrome","com.tests.ValidationEpic1","validateOfferesIsSelectedNegative"
"Search Flights 3","0","Validating Search resrch result","Suite","Sun Jan 07 17:12:52 UTC 2024","unknown","Sun Jan 07 17:12:52 UTC 2024","com.tests.ValidationEpic1","chrome","com.tests.ValidationEpic1","searchFlights3"
"Search Product in Amazon2","0","validate the Sorting works 2","Suite","Sun Jan 07 17:12:52 UTC 2024","unknown","Sun Jan 07 17:12:52 UTC 2024","com.tests.ValidationEpic1","chrome","com.tests.ValidationEpic1","searchProduct_2nd"
"","0","Testing Link Broken","Suite","Sun Jan 07 17:12:52 UTC 2024","unknown","Sun Jan 07 17:12:52 UTC 2024","com.tests.ValidationEpic1","chrome","com.tests.ValidationEpic1","validateBrokenIsSelected"
"Search Product in Amazon","0","validate the Sorting works","Suite","Sun Jan 07 17:12:52 UTC 2024","unknown","Sun Jan 07 17:12:52 UTC 2024","com.tests.ValidationEpic1","chrome","com.tests.ValidationEpic1","searchProduct"
"Search Flights 4","1","Validating Search resrch result","Suite","Sun Jan 07 17:12:51 UTC 2024","unknown","Sun Jan 07 17:12:51 UTC 2024","com.tests.ValidationEpic1","chrome","com.tests.ValidationEpic1","searchFlights4"
"Search Flights","0","Validating Search resrch result","Suite","Sun Jan 07 17:12:52 UTC 2024","unknown","Sun Jan 07 17:12:52 UTC 2024","com.tests.ValidationEpic1","chrome","com.tests.ValidationEpic1","searchFlights"
"Testing Link Checkboxes 1","0","Testing Link Checkboxes","Suite","Sun Jan 07 17:12:52 UTC 2024","unknown","Sun Jan 07 17:12:52 UTC 2024","com.tests.ValidationEpic1","chrome","com.tests.ValidationEpic1","validateOfferesIsSelected"
"Search Product in Amazon3","11248","validate the Sorting works 3","Suite","Sun Jan 07 17:13:03 UTC 2024","passed","Sun Jan 07 17:13:15 UTC 2024","com.tests.ValidationEpic1","chrome","com.tests.ValidationEpic1","searchProduct_3rd"
"Search Flights 2","0","Validating Search resrch result","Suite","Sun Jan 07 17:12:52 UTC 2024","unknown","Sun Jan 07 17:12:52 UTC 2024","com.tests.ValidationEpic1","chrome","com.tests.ValidationEpic1","searchFlights2"
